# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -43.5372
# Longitude (positive East, ISO 19115): 172.7049
# Altitude (m): 8.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-24
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-03T04:00:00.0/2020-01-03T05:00:00.0;857.3312;616.7469;459.0841;157.6629;751.7433;44.3331;0.0000;44.3331;0.0000;1.0000
2020-01-03T05:00:00.0/2020-01-03T06:00:00.0;632.5660;421.0974;281.3272;139.7702;621.0699;35.9872;0.0000;35.9872;0.0000;1.0000
2020-01-03T06:00:00.0/2020-01-03T07:00:00.0;390.3755;223.6319;122.1501;101.4818;428.4238;47.0512;0.0077;47.0435;0.0337;1.0000
2020-01-03T07:00:00.0/2020-01-03T08:00:00.0;147.2504;60.6255;19.6264;40.9991;146.4810;7.6119;0.0000;7.6118;0.0001;0.7667
2020-01-03T08:00:00.0/2020-01-03T09:00:00.0;1.8967;0.4144;0.0103;0.4041;0.0000;0.0507;0.0000;0.0507;0.0000;0.9333
2020-01-03T09:00:00.0/2020-01-03T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T10:00:00.0/2020-01-03T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T11:00:00.0/2020-01-03T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T12:00:00.0/2020-01-03T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T13:00:00.0/2020-01-03T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T14:00:00.0/2020-01-03T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T15:00:00.0/2020-01-03T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T16:00:00.0/2020-01-03T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T17:00:00.0/2020-01-03T18:00:00.0;119.3190;55.3138;25.8432;29.4706;219.5556;30.8534;0.0883;30.7650;0.8381;0.6500
2020-01-03T18:00:00.0/2020-01-03T19:00:00.0;361.4277;230.1573;161.2167;68.9406;613.0759;164.6595;73.1871;91.4724;238.8890;1.0000
2020-01-03T19:00:00.0/2020-01-03T20:00:00.0;604.5514;435.7207;347.1944;88.5263;804.0869;434.9910;345.4092;89.5818;800.5875;1.0000
2020-01-03T20:00:00.0/2020-01-03T21:00:00.0;832.1268;636.4037;537.8536;98.5501;908.2762;401.4442;119.0238;282.4204;212.8984;1.0000
2020-01-03T21:00:00.0/2020-01-03T22:00:00.0;1028.6471;808.8838;698.0139;110.8699;955.0686;650.1727;360.5177;289.6551;492.1705;1.0000
2020-01-03T22:00:00.0/2020-01-03T23:00:00.0;1180.7188;939.0758;810.9063;128.1695;966.8489;576.2643;133.3137;442.9507;161.2555;1.0000
2020-01-03T23:00:00.0/2020-01-04T00:00:00.0;1277.9746;1020.6385;877.3004;143.3382;966.4927;675.5457;240.4470;435.0987;261.8819;1.0000
2020-01-04T00:00:00.0/2020-01-04T01:00:00.0;1313.7810;1050.4464;902.7465;147.7000;967.3917;892.7622;438.3339;454.4283;469.8369;1.0000
2020-01-04T01:00:00.0/2020-01-04T02:00:00.0;1285.6896;1026.0089;885.2568;140.7521;969.3616;786.1434;264.3120;521.8314;289.7184;1.0000
2020-01-04T02:00:00.0/2020-01-04T03:00:00.0;1195.6063;945.7109;814.1362;131.5747;958.5189;850.2300;534.0876;316.1424;629.7050;0.9167
2020-01-04T03:00:00.0/2020-01-04T04:00:00.0;1049.6604;815.8115;694.2419;121.5697;930.6175;712.9611;406.8898;306.0713;546.4789;1.0000
2020-01-04T04:00:00.0/2020-01-04T05:00:00.0;857.7868;646.4788;536.2517;110.2271;878.7576;565.9086;328.0128;237.8959;541.7111;1.0000
2020-01-04T05:00:00.0/2020-01-04T06:00:00.0;633.0490;451.5714;356.8236;94.7477;789.9474;451.5714;356.8236;94.7477;789.9474;1.0000
2020-01-04T06:00:00.0/2020-01-04T07:00:00.0;390.7488;248.2254;174.3201;73.9052;615.0059;248.2254;174.3201;73.9052;615.0059;1.0000
2020-01-04T07:00:00.0/2020-01-04T08:00:00.0;147.3842;69.5825;33.6119;35.9706;257.2391;69.5825;33.6119;35.9706;257.2391;0.8500
2020-01-04T08:00:00.0/2020-01-04T09:00:00.0;1.8912;0.4587;0.0173;0.4415;0.0000;0.4587;0.0173;0.4415;0.0000;0.9333
2020-01-04T09:00:00.0/2020-01-04T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T10:00:00.0/2020-01-04T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T11:00:00.0/2020-01-04T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T12:00:00.0/2020-01-04T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T13:00:00.0/2020-01-04T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T14:00:00.0/2020-01-04T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T15:00:00.0/2020-01-04T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T16:00:00.0/2020-01-04T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-04T17:00:00.0/2020-01-04T18:00:00.0;115.7323;45.3102;16.2261;29.0841;139.3813;34.4781;10.3209;24.1572;101.1675;0.6583
2020-01-04T18:00:00.0/2020-01-04T19:00:00.0;357.9635;194.1207;110.0815;84.0392;421.2735;20.8989;0.0000;20.8989;0.0000;1.0000
2020-01-04T19:00:00.0/2020-01-04T20:00:00.0;601.3208;374.5583;247.0820;127.4763;574.8608;73.9150;0.0633;73.8517;0.1306;1.0000
2020-01-04T20:00:00.0/2020-01-04T21:00:00.0;829.2424;552.9774;387.8033;165.1740;657.1065;70.4667;0.0110;70.4557;0.0207;1.0000
2020-01-04T21:00:00.0/2020-01-04T22:00:00.0;1026.1974;722.0770;539.4114;182.6655;738.5397;237.9875;27.3507;210.6368;35.0812;1.0000
2020-01-04T22:00:00.0/2020-01-04T23:00:00.0;1178.7621;867.3583;692.2431;175.1152;826.1237;682.8713;284.6951;398.1763;344.0861;1.0000
2020-01-04T23:00:00.0/2020-01-05T00:00:00.0;1276.5350;965.7772;807.7344;158.0427;890.5800;572.7202;199.9240;372.7962;221.7250;1.0000
2020-01-05T00:00:00.0/2020-01-05T01:00:00.0;1312.8467;1008.5131;869.0955;139.4176;931.9892;820.5135;516.9816;303.5319;554.4713;1.0000
2020-01-05T01:00:00.0/2020-01-05T02:00:00.0;1285.2137;992.9203;869.4675;123.4528;952.4980;371.5615;167.7386;203.8229;185.4234;1.0000
2020-01-05T02:00:00.0/2020-01-05T03:00:00.0;1195.5105;922.7981;817.5167;105.2814;962.7738;680.0760;277.7986;402.2775;324.9627;0.9167
2020-01-05T03:00:00.0/2020-01-05T04:00:00.0;1049.8396;801.5093;708.4374;93.0719;949.5681;716.1447;512.7311;203.4136;699.7447;1.0000
2020-01-05T04:00:00.0/2020-01-05T05:00:00.0;858.1168;638.7031;552.1560;86.5471;904.6969;638.7031;552.1560;86.5471;904.6969;1.0000
2020-01-05T05:00:00.0/2020-01-05T06:00:00.0;633.3951;449.9855;373.4637;76.5218;826.9119;449.9855;373.4637;76.5218;826.9119;1.0000
2020-01-05T06:00:00.0/2020-01-05T07:00:00.0;390.9751;249.2907;185.0226;64.2681;652.3659;229.9054;144.0175;85.8878;484.8792;1.0000
2020-01-05T07:00:00.0/2020-01-05T08:00:00.0;147.3622;69.7225;35.2895;34.4331;268.9414;68.3771;32.5548;35.8223;252.8288;0.8500
2020-01-05T08:00:00.0/2020-01-05T09:00:00.0;1.8672;0.4480;0.0170;0.4310;0.0000;0.4480;0.0170;0.4310;0.0000;0.9333
2020-01-05T09:00:00.0/2020-01-05T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T10:00:00.0/2020-01-05T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T11:00:00.0/2020-01-05T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T12:00:00.0/2020-01-05T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T13:00:00.0/2020-01-05T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T14:00:00.0/2020-01-05T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T15:00:00.0/2020-01-05T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T16:00:00.0/2020-01-05T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-05T17:00:00.0/2020-01-05T18:00:00.0;112.0991;51.7482;22.5736;29.1746;193.8837;51.7482;22.5736;29.1746;193.8837;0.6667
2020-01-05T18:00:00.0/2020-01-05T19:00:00.0;354.4029;227.5813;158.4321;69.1492;612.5165;227.5813;158.4321;69.1492;612.5165;1.0000
2020-01-05T19:00:00.0/2020-01-05T20:00:00.0;598.0023;436.1918;352.0629;84.1289;823.8540;416.9372;306.7355;110.2017;727.9977;1.0000
2020-01-05T20:00:00.0/2020-01-05T21:00:00.0;826.2763;640.0982;552.6123;87.4859;939.6409;638.3715;548.5931;89.7783;933.5422;1.0000
2020-01-05T21:00:00.0/2020-01-05T22:00:00.0;1023.6693;816.6553;724.1562;92.4992;995.5276;599.4114;224.9026;374.5089;313.6523;1.0000
2020-01-05T22:00:00.0/2020-01-05T23:00:00.0;1176.7274;951.5454;848.5579;102.9876;1015.1091;481.6310;153.7747;327.8563;184.5341;1.0000
2020-01-05T23:00:00.0/2020-01-06T00:00:00.0;1275.0146;1037.4376;925.3234;112.1143;1021.7228;464.3403;103.4648;360.8755;114.3933;1.0000
2020-01-06T00:00:00.0/2020-01-06T01:00:00.0;1311.8262;1066.1334;939.9214;126.2120;1008.7322;282.1811;30.4500;251.7311;32.7337;1.0000
2020-01-06T01:00:00.0/2020-01-06T02:00:00.0;1284.6438;1035.4174;891.2083;144.2091;976.5354;132.5043;0.6484;131.8559;0.7018;1.0000
2020-01-06T02:00:00.0/2020-01-06T03:00:00.0;1195.3105;948.9644;790.2471;158.7172;930.3000;642.6941;319.3855;323.3086;381.1542;0.9167
2020-01-06T03:00:00.0/2020-01-06T04:00:00.0;1049.9036;815.6724;656.2288;159.4437;879.3104;325.3315;88.2817;237.0498;113.5161;1.0000
2020-01-06T04:00:00.0/2020-01-06T05:00:00.0;858.3201;645.3197;499.3161;146.0036;817.3700;111.5635;0.1951;111.3684;0.3454;1.0000
2020-01-06T05:00:00.0/2020-01-06T06:00:00.0;633.6033;448.8828;323.0365;125.8464;713.6196;103.2034;0.2857;102.9177;0.5578;1.0000
2020-01-06T06:00:00.0/2020-01-06T07:00:00.0;391.0531;245.6652;152.6440;93.0212;537.3785;39.8516;0.0006;39.8509;0.0024;1.0000
2020-01-06T07:00:00.0/2020-01-06T08:00:00.0;147.1838;68.6327;27.7777;40.8550;208.0053;11.4953;0.0000;11.4953;0.0000;0.8500
2020-01-06T08:00:00.0/2020-01-06T09:00:00.0;1.8244;0.4412;0.0076;0.4336;0.0000;0.1842;0.0000;0.1842;0.0000;0.9333
2020-01-06T09:00:00.0/2020-01-06T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-06T10:00:00.0/2020-01-06T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-06T11:00:00.0/2020-01-06T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-06T12:00:00.0/2020-01-06T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-06T13:00:00.0/2020-01-06T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-06T14:00:00.0/2020-01-06T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-06T15:00:00.0/2020-01-06T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-06T16:00:00.0/2020-01-06T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-06T17:00:00.0/2020-01-06T18:00:00.0;108.4272;49.7227;22.5021;27.2206;199.3397;49.5057;22.1787;27.3270;197.3035;0.6750
2020-01-06T18:00:00.0/2020-01-06T19:00:00.0;350.7483;221.5679;153.3675;68.2003;599.6865;78.5063;28.0536;50.4527;140.4288;1.0000
2020-01-06T19:00:00.0/2020-01-06T20:00:00.0;594.5980;425.8291;337.8535;87.9757;795.3330;180.2435;41.8819;138.3616;90.5499;1.0000
2020-01-06T20:00:00.0/2020-01-06T21:00:00.0;823.2301;625.5276;527.5952;97.9324;900.5118;600.2327;463.7817;136.4510;794.1456;1.0000
2020-01-06T21:00:00.0/2020-01-06T22:00:00.0;1021.0641;801.7039;699.7918;101.9121;964.1222;734.6365;510.2082;224.4283;714.6874;1.0000
2020-01-06T22:00:00.0/2020-01-06T23:00:00.0;1174.6154;940.1329;838.1890;101.9440;1004.3188;611.1046;162.8971;448.2074;196.5477;1.0000
