# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2026-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -43.5372
# Longitude (positive East, ISO 19115): 172.7049
# Altitude (m): 8.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-24
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-01T00:00:00.0/2020-01-01T01:00:00.0;1316.0697;828.5184;458.5846;369.9337;490.5413;616.6718;236.5376;380.1342;252.9337;1.0000
2020-01-01T01:00:00.0/2020-01-01T02:00:00.0;1286.5591;792.1838;427.3022;364.8816;467.4328;646.7632;264.2374;382.5259;289.0287;1.0000
2020-01-01T02:00:00.0/2020-01-01T03:00:00.0;1195.2799;705.7268;362.7558;342.9710;426.8251;458.9986;86.1649;372.8337;101.1671;0.9167
2020-01-01T03:00:00.0/2020-01-01T04:00:00.0;1048.4445;578.7953;274.0072;304.7881;366.9612;348.7187;47.8192;300.8995;63.4627;1.0000
2020-01-01T04:00:00.0/2020-01-01T05:00:00.0;856.0497;424.3546;175.4161;248.9385;286.6094;243.4218;21.7570;221.6648;35.2140;1.0000
2020-01-01T05:00:00.0/2020-01-01T06:00:00.0;631.1956;262.2809;86.2443;176.0366;189.1538;151.2593;8.0051;143.2542;17.7733;1.0000
2020-01-01T06:00:00.0/2020-01-01T07:00:00.0;389.1930;122.2645;26.6391;95.6254;91.6962;76.5704;2.4150;74.1554;8.2496;1.0000
2020-01-01T07:00:00.0/2020-01-01T08:00:00.0;146.5201;31.2086;2.8900;28.3185;20.9908;28.3989;1.6026;26.7963;13.2766;0.8500
2020-01-01T08:00:00.0/2020-01-01T09:00:00.0;1.8521;0.2540;0.0005;0.2535;0.0000;0.2540;0.0005;0.2535;0.0000;0.9333
2020-01-01T09:00:00.0/2020-01-01T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T10:00:00.0/2020-01-01T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T11:00:00.0/2020-01-01T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T12:00:00.0/2020-01-01T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T13:00:00.0/2020-01-01T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T14:00:00.0/2020-01-01T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T15:00:00.0/2020-01-01T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T16:00:00.0/2020-01-01T17:00:00.0;0.1937;0.0285;0.0001;0.0285;0.0000;0.0285;0.0001;0.0285;0.0000;0.9833
2020-01-01T17:00:00.0/2020-01-01T18:00:00.0;126.1265;34.4091;6.3688;28.0403;49.2397;17.0680;1.6596;15.4084;18.1168;0.7333
2020-01-01T18:00:00.0/2020-01-01T19:00:00.0;368.0576;160.8769;71.1687;89.7081;259.2110;56.8371;4.2963;52.5409;13.1114;1.0000
2020-01-01T19:00:00.0/2020-01-01T20:00:00.0;610.7408;343.5142;207.6945;135.8197;472.6616;125.4009;3.9347;121.4662;9.2320;1.0000
2020-01-01T20:00:00.0/2020-01-01T21:00:00.0;837.6437;537.6855;378.2556;159.4300;632.8441;176.8588;14.0300;162.8288;25.7657;1.0000
2020-01-01T21:00:00.0/2020-01-01T22:00:00.0;1033.3066;708.9445;535.0895;173.8550;728.2136;84.4209;0.0004;84.4205;0.0006;1.0000
2020-01-01T22:00:00.0/2020-01-01T23:00:00.0;1184.3955;838.7126;650.2950;188.4175;772.6675;435.2177;100.0526;335.1651;117.0747;1.0000
2020-01-01T23:00:00.0/2020-01-02T00:00:00.0;1280.6112;922.0215;724.4082;197.6133;796.3019;629.3155;201.4387;427.8767;219.2757;1.0000
2020-01-02T00:00:00.0/2020-01-02T01:00:00.0;1315.3923;954.3451;755.5626;198.7825;808.6508;806.4167;438.2725;368.1442;469.1741;1.0000
2020-01-02T01:00:00.0/2020-01-02T02:00:00.0;1286.3615;933.3149;741.8146;191.5003;811.8386;914.3499;685.7535;228.5963;751.4675;1.0000
2020-01-02T02:00:00.0/2020-01-02T03:00:00.0;1195.4900;858.2772;678.5018;179.7754;798.8235;858.2772;678.5018;179.7754;798.8235;0.9167
2020-01-02T03:00:00.0/2020-01-02T04:00:00.0;1048.9615;733.7742;565.5538;168.2205;758.2025;709.9017;509.5648;200.3369;679.3024;1.0000
2020-01-02T04:00:00.0/2020-01-02T05:00:00.0;856.7517;570.2114;415.7518;154.4595;681.1987;493.6385;241.1116;252.5269;398.5706;1.0000
2020-01-02T05:00:00.0/2020-01-02T06:00:00.0;631.9476;384.3359;253.7495;130.5864;560.6294;339.4062;190.7597;148.6465;409.0634;1.0000
2020-01-02T06:00:00.0/2020-01-02T07:00:00.0;389.8565;197.4650;104.8929;92.5721;366.0351;146.6206;42.5821;104.0385;161.2887;1.0000
2020-01-02T07:00:00.0/2020-01-02T08:00:00.0;146.9620;50.6067;14.8235;35.7833;109.9602;50.6067;14.8235;35.7833;109.9602;0.8500
2020-01-02T08:00:00.0/2020-01-02T09:00:00.0;1.8836;0.3643;0.0119;0.3524;0.0000;0.3643;0.0119;0.3524;0.0000;0.9333
2020-01-02T09:00:00.0/2020-01-02T10:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T10:00:00.0/2020-01-02T11:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T11:00:00.0/2020-01-02T12:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T12:00:00.0/2020-01-02T13:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T13:00:00.0/2020-01-02T14:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T14:00:00.0/2020-01-02T15:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T15:00:00.0/2020-01-02T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T16:00:00.0/2020-01-02T17:00:00.0;0.0724;0.0145;0.0010;0.0135;0.0000;0.0145;0.0010;0.0135;0.0000;0.9917
2020-01-02T17:00:00.0/2020-01-02T18:00:00.0;122.7786;51.9116;23.8196;28.0920;200.5402;44.1593;15.5089;28.6504;148.4184;0.7333
2020-01-02T18:00:00.0/2020-01-02T19:00:00.0;364.7932;217.0276;148.7235;68.3042;559.8546;100.2603;3.5106;96.7497;13.7877;1.0000
2020-01-02T19:00:00.0/2020-01-02T20:00:00.0;607.6921;415.3808;324.2208;91.1599;746.6958;186.0971;26.1716;159.9255;53.5739;0.9167
2020-01-02T20:00:00.0/2020-01-02T21:00:00.0;834.9279;610.8634;506.3535;104.5099;852.0726;322.7200;63.9136;258.8064;112.1380;1.0000
2020-01-02T21:00:00.0/2020-01-02T22:00:00.0;1031.0172;780.8898;662.5222;118.3676;904.2751;151.1739;0.2091;150.9648;0.3047;1.0000
2020-01-02T22:00:00.0/2020-01-02T23:00:00.0;1182.5968;911.1160;775.0769;136.0391;922.6093;115.4252;0.0063;115.4189;0.0075;1.0000
2020-01-02T23:00:00.0/2020-01-03T00:00:00.0;1279.3335;993.5260;841.6022;151.9238;926.1564;56.7274;0.0000;56.7274;0.0000;1.0000
2020-01-03T00:00:00.0/2020-01-03T01:00:00.0;1314.6295;1023.3956;861.8135;161.5821;922.9243;57.9984;0.0000;57.9984;0.0000;1.0000
2020-01-03T01:00:00.0/2020-01-03T02:00:00.0;1286.0719;998.2131;833.7480;164.4651;912.6260;94.0629;0.1476;93.9153;0.1652;1.0000
2020-01-03T02:00:00.0/2020-01-03T03:00:00.0;1195.5991;917.8560;753.7923;164.0637;887.3244;119.1961;0.0820;119.1141;0.0933;0.9167
2020-01-03T03:00:00.0/2020-01-03T04:00:00.0;1049.3673;787.4291;624.4506;162.9785;836.8301;54.6945;0.0000;54.6945;0.0000;1.0000
