date,usage,dollars,type
04:00AM 30 October 2025,3.62 kWh,$0.66,actual
05:00AM 30 October 2025,1.75 kWh,$0.35,actual
06:00AM 30 October 2025,2.94 kWh,$0.55,actual
07:00AM 30 October 2025,2.06 kWh,$0.61,actual
08:00AM 30 October 2025,1.08 kWh,$0.35,actual
09:00AM 30 October 2025,0.93 kWh,$0.31,actual
10:00AM 30 October 2025,0.67 kWh,$0.23,actual
11:00AM 30 October 2025,0.49 kWh,$0.19,actual
12:00PM 30 October 2025,0.49 kWh,$0.19,actual
01:00PM 30 October 2025,1.75 kWh,$0.52,actual
02:00PM 30 October 2025,0.52 kWh,$0.19,actual
03:00PM 30 October 2025,0.66 kWh,$0.23,actual
04:00PM 30 October 2025,0.54 kWh,$0.20,actual
05:00PM 30 October 2025,0.92 kWh,$0.30,actual
06:00PM 30 October 2025,1.58 kWh,$0.48,actual
07:00PM 30 October 2025,1.49 kWh,$0.46,actual
08:00PM 30 October 2025,1.58 kWh,$0.48,actual
09:00PM 30 October 2025,1.41 kWh,$0.29,actual
10:00PM 30 October 2025,2.05 kWh,$0.40,actual
11:00PM 30 October 2025,2.35 kWh,$0.45,actual
12:00AM 31 October 2025,3.72 kWh,$0.68,actual
01:00AM 31 October 2025,3.69 kWh,$0.68,actual
02:00AM 31 October 2025,3.77 kWh,$0.69,actual
03:00AM 31 October 2025,0.81 kWh,$0.19,actual
04:00AM 31 October 2025,0.49 kWh,$0.14,actual
05:00AM 31 October 2025,0.50 kWh,$0.14,actual
06:00AM 31 October 2025,1.55 kWh,$0.32,actual
07:00AM 31 October 2025,1.82 kWh,$0.54,actual
08:00AM 31 October 2025,1.66 kWh,$0.50,actual
09:00AM 31 October 2025,1.04 kWh,$0.33,actual
10:00AM 31 October 2025,1.30 kWh,$0.40,actual
11:00AM 31 October 2025,1.82 kWh,$0.54,actual
12:00PM 31 October 2025,0.92 kWh,$0.30,actual
01:00PM 31 October 2025,0.71 kWh,$0.25,actual
02:00PM 31 October 2025,1.12 kWh,$0.36,actual
03:00PM 31 October 2025,0.65 kWh,$0.23,actual
04:00PM 31 October 2025,1.07 kWh,$0.34,actual
05:00PM 31 October 2025,2.00 kWh,$0.59,actual
06:00PM 31 October 2025,3.40 kWh,$0.97,actual
07:00PM 31 October 2025,2.08 kWh,$0.61,actual
08:00PM 31 October 2025,1.95 kWh,$0.58,actual
09:00PM 31 October 2025,1.08 kWh,$0.24,actual
10:00PM 31 October 2025,1.30 kWh,$0.27,actual
11:00PM 31 October 2025,2.97 kWh,$0.56,actual
12:00AM 1 November 2025,4.17 kWh,$0.76,actual
01:00AM 1 November 2025,4.19 kWh,$0.76,actual
02:00AM 1 November 2025,4.10 kWh,$0.75,actual
03:00AM 1 November 2025,0.99 kWh,$0.22,actual
04:00AM 1 November 2025,1.47 kWh,$0.30,actual
05:00AM 1 November 2025,1.38 kWh,$0.29,actual
06:00AM 1 November 2025,1.04 kWh,$0.23,actual
07:00AM 1 November 2025,1.00 kWh,$0.32,actual
08:00AM 1 November 2025,1.65 kWh,$0.50,actual
09:00AM 1 November 2025,0.81 kWh,$0.27,actual
10:00AM 1 November 2025,1.05 kWh,$0.34,actual
11:00AM 1 November 2025,2.39 kWh,$0.70,actual
12:00PM 1 November 2025,1.86 kWh,$0.56,actual
01:00PM 1 November 2025,1.96 kWh,$0.58,actual
02:00PM 1 November 2025,0.84 kWh,$0.28,actual
03:00PM 1 November 2025,0.73 kWh,$0.25,actual
04:00PM 1 November 2025,0.57 kWh,$0.21,actual
05:00PM 1 November 2025,1.27 kWh,$0.40,actual
06:00PM 1 November 2025,1.77 kWh,$0.53,actual
07:00PM 1 November 2025,1.26 kWh,$0.39,actual
08:00PM 1 November 2025,2.22 kWh,$0.65,actual
09:00PM 1 November 2025,2.70 kWh,$0.51,actual
10:00PM 1 November 2025,1.86 kWh,$0.37,actual
11:00PM 1 November 2025,3.15 kWh,$0.59,actual
12:00AM 2 November 2025,4.65 kWh,$0.84,actual
01:00AM 2 November 2025,4.72 kWh,$0.85,actual
02:00AM 2 November 2025,3.86 kWh,$0.70,actual
03:00AM 2 November 2025,1.87 kWh,$0.37,actual
04:00AM 2 November 2025,2.08 kWh,$0.41,actual
05:00AM 2 November 2025,1.64 kWh,$0.33,actual
06:00AM 2 November 2025,1.90 kWh,$0.38,actual
07:00AM 2 November 2025,1.75 kWh,$0.53,actual
08:00AM 2 November 2025,1.31 kWh,$0.41,actual
09:00AM 2 November 2025,0.95 kWh,$0.31,actual
10:00AM 2 November 2025,1.50 kWh,$0.46,actual
11:00AM 2 November 2025,1.71 kWh,$0.51,actual
12:00PM 2 November 2025,2.49 kWh,$0.72,actual
01:00PM 2 November 2025,1.45 kWh,$0.45,actual
02:00PM 2 November 2025,0.78 kWh,$0.27,actual
03:00PM 2 November 2025,0.81 kWh,$0.27,actual
04:00PM 2 November 2025,0.66 kWh,$0.23,actual
05:00PM 2 November 2025,2.68 kWh,$0.77,actual
06:00PM 2 November 2025,2.17 kWh,$0.64,actual
07:00PM 2 November 2025,1.82 kWh,$0.54,actual
08:00PM 2 November 2025,1.75 kWh,$0.53,actual
09:00PM 2 November 2025,2.36 kWh,$0.45,actual
10:00PM 2 November 2025,2.11 kWh,$0.41,actual
11:00PM 2 November 2025,3.09 kWh,$0.58,actual
12:00AM 3 November 2025,4.50 kWh,$0.81,actual
01:00AM 3 November 2025,4.49 kWh,$0.81,actual
02:00AM 3 November 2025,4.49 kWh,$0.81,actual
03:00AM 3 November 2025,3.21 kWh,$0.59,actual
04:00AM 3 November 2025,1.28 kWh,$0.27,actual
05:00AM 3 November 2025,1.65 kWh,$0.33,actual
06:00AM 3 November 2025,1.97 kWh,$0.39,actual
07:00AM 3 November 2025,1.55 kWh,$0.47,actual
08:00AM 3 November 2025,0.55 kWh,$0.20,actual
09:00AM 3 November 2025,0.41 kWh,$0.16,actual
10:00AM 3 November 2025,1.38 kWh,$0.43,actual
11:00AM 3 November 2025,1.94 kWh,$0.58,actual
12:00PM 3 November 2025,1.31 kWh,$0.41,actual
01:00PM 3 November 2025,0.58 kWh,$0.21,actual
02:00PM 3 November 2025,0.68 kWh,$0.24,actual
03:00PM 3 November 2025,0.46 kWh,$0.18,actual
04:00PM 3 November 2025,0.68 kWh,$0.24,actual
05:00PM 3 November 2025,0.85 kWh,$0.28,actual
06:00PM 3 November 2025,1.50 kWh,$0.46,actual
07:00PM 3 November 2025,1.46 kWh,$0.45,actual
08:00PM 3 November 2025,1.41 kWh,$0.43,actual
09:00PM 3 November 2025,2.68 kWh,$0.51,actual
10:00PM 3 November 2025,2.14 kWh,$0.42,actual
11:00PM 3 November 2025,2.98 kWh,$0.56,actual
12:00AM 4 November 2025,4.31 kWh,$0.78,actual
01:00AM 4 November 2025,4.41 kWh,$0.80,actual
02:00AM 4 November 2025,4.40 kWh,$0.80,actual
03:00AM 4 November 2025,2.54 kWh,$0.48,actual
04:00AM 4 November 2025,2.05 kWh,$0.40,actual
05:00AM 4 November 2025,1.49 kWh,$0.31,actual
06:00AM 4 November 2025,1.26 kWh,$0.27,actual
07:00AM 4 November 2025,1.79 kWh,$0.54,actual
08:00AM 4 November 2025,1.43 kWh,$0.44,actual
09:00AM 4 November 2025,0.76 kWh,$0.26,actual
10:00AM 4 November 2025,0.56 kWh,$0.21,actual
11:00AM 4 November 2025,0.97 kWh,$0.31,actual
12:00PM 4 November 2025,0.95 kWh,$0.31,actual
01:00PM 4 November 2025,0.51 kWh,$0.19,actual
02:00PM 4 November 2025,0.61 kWh,$0.22,actual
03:00PM 4 November 2025,0.51 kWh,$0.19,actual
04:00PM 4 November 2025,1.19 kWh,$0.37,actual
05:00PM 4 November 2025,1.17 kWh,$0.37,actual
06:00PM 4 November 2025,1.81 kWh,$0.54,actual
07:00PM 4 November 2025,1.57 kWh,$0.48,actual
08:00PM 4 November 2025,1.98 kWh,$0.59,actual
09:00PM 4 November 2025,1.01 kWh,$0.23,actual
10:00PM 4 November 2025,1.48 kWh,$0.30,actual
11:00PM 4 November 2025,2.68 kWh,$0.51,actual
12:00AM 5 November 2025,4.24 kWh,$0.77,actual
01:00AM 5 November 2025,4.21 kWh,$0.76,actual
02:00AM 5 November 2025,1.03 kWh,$0.23,actual
03:00AM 5 November 2025,1.33 kWh,$0.28,actual
04:00AM 5 November 2025,1.39 kWh,$0.29,actual
05:00AM 5 November 2025,1.01 kWh,$0.23,actual
06:00AM 5 November 2025,1.86 kWh,$0.37,actual
07:00AM 5 November 2025,1.02 kWh,$0.33,actual
08:00AM 5 November 2025,1.96 kWh,$0.58,actual
09:00AM 5 November 2025,0.83 kWh,$0.28,actual
10:00AM 5 November 2025,1.60 kWh,$0.48,actual
11:00AM 5 November 2025,0.56 kWh,$0.21,actual
12:00PM 5 November 2025,0.54 kWh,$0.20,actual
01:00PM 5 November 2025,1.14 kWh,$0.36,actual
02:00PM 5 November 2025,0.80 kWh,$0.27,actual
03:00PM 5 November 2025,0.73 kWh,$0.25,actual
04:00PM 5 November 2025,0.81 kWh,$0.27,actual
05:00PM 5 November 2025,0.84 kWh,$0.28,actual
06:00PM 5 November 2025,2.23 kWh,$0.65,actual
07:00PM 5 November 2025,2.46 kWh,$0.72,actual
08:00PM 5 November 2025,2.21 kWh,$0.65,actual
09:00PM 5 November 2025,0.99 kWh,$0.22,actual
10:00PM 5 November 2025,2.06 kWh,$0.40,actual
11:00PM 5 November 2025,2.99 kWh,$0.56,actual
12:00AM 6 November 2025,4.37 kWh,$0.79,actual
01:00AM 6 November 2025,4.39 kWh,$0.79,actual
02:00AM 6 November 2025,2.83 kWh,$0.53,actual
03:00AM 6 November 2025,1.84 kWh,$0.36,actual
04:00AM 6 November 2025,1.27 kWh,$0.27,actual
05:00AM 6 November 2025,2.18 kWh,$0.42,actual
06:00AM 6 November 2025,1.45 kWh,$0.30,actual
07:00AM 6 November 2025,1.26 kWh,$0.39,actual
08:00AM 6 November 2025,0.88 kWh,$0.29,actual
09:00AM 6 November 2025,0.59 kWh,$0.22,actual
10:00AM 6 November 2025,0.61 kWh,$0.22,actual
11:00AM 6 November 2025,1.06 kWh,$0.34,actual
12:00PM 6 November 2025,1.25 kWh,$0.39,actual
01:00PM 6 November 2025,0.81 kWh,$0.27,actual
02:00PM 6 November 2025,0.71 kWh,$0.25,actual
03:00PM 6 November 2025,0.64 kWh,$0.23,actual
04:00PM 6 November 2025,0.82 kWh,$0.28,actual
05:00PM 6 November 2025,2.40 kWh,$0.70,actual
06:00PM 6 November 2025,1.55 kWh,$0.47,actual
07:00PM 6 November 2025,1.35 kWh,$0.42,actual
08:00PM 6 November 2025,1.22 kWh,$0.38,actual
09:00PM 6 November 2025,0.96 kWh,$0.22,actual
10:00PM 6 November 2025,1.17 kWh,$0.25,actual
11:00PM 6 November 2025,2.29 kWh,$0.44,actual
12:00AM 7 November 2025,3.69 kWh,$0.68,actual
01:00AM 7 November 2025,3.68 kWh,$0.68,actual
02:00AM 7 November 2025,1.71 kWh,$0.34,actual
03:00AM 7 November 2025,1.16 kWh,$0.25,actual
04:00AM 7 November 2025,0.82 kWh,$0.19,actual
05:00AM 7 November 2025,0.81 kWh,$0.19,actual
06:00AM 7 November 2025,1.09 kWh,$0.24,actual
07:00AM 7 November 2025,1.35 kWh,$0.42,actual
08:00AM 7 November 2025,1.16 kWh,$0.37,actual
09:00AM 7 November 2025,0.55 kWh,$0.20,actual
10:00AM 7 November 2025,0.67 kWh,$0.23,actual
11:00AM 7 November 2025,1.59 kWh,$0.48,actual
12:00PM 7 November 2025,0.73 kWh,$0.25,actual
01:00PM 7 November 2025,0.80 kWh,$0.27,actual
02:00PM 7 November 2025,0.65 kWh,$0.23,actual
03:00PM 7 November 2025,0.65 kWh,$0.23,actual
04:00PM 7 November 2025,0.95 kWh,$0.31,actual
05:00PM 7 November 2025,0.99 kWh,$0.32,actual
06:00PM 7 November 2025,1.08 kWh,$0.35,actual
07:00PM 7 November 2025,1.98 kWh,$0.59,actual
08:00PM 7 November 2025,2.03 kWh,$0.60,actual
09:00PM 7 November 2025,1.17 kWh,$0.25,actual
10:00PM 7 November 2025,1.90 kWh,$0.38,actual
11:00PM 7 November 2025,3.22 kWh,$0.60,actual
12:00AM 8 November 2025,4.81 kWh,$0.86,actual
01:00AM 8 November 2025,4.76 kWh,$0.86,actual
02:00AM 8 November 2025,2.75 kWh,$0.52,actual
03:00AM 8 November 2025,1.96 kWh,$0.38,actual
04:00AM 8 November 2025,2.00 kWh,$0.39,actual
05:00AM 8 November 2025,1.70 kWh,$0.34,actual
06:00AM 8 November 2025,1.95 kWh,$0.38,actual
07:00AM 8 November 2025,1.45 kWh,$0.44,actual
08:00AM 8 November 2025,1.07 kWh,$0.34,actual
09:00AM 8 November 2025,1.15 kWh,$0.36,actual
10:00AM 8 November 2025,1.33 kWh,$0.41,actual
11:00AM 8 November 2025,1.55 kWh,$0.47,actual
12:00PM 8 November 2025,1.31 kWh,$0.41,actual
01:00PM 8 November 2025,0.99 kWh,$0.32,actual
02:00PM 8 November 2025,0.83 kWh,$0.28,actual
03:00PM 8 November 2025,0.87 kWh,$0.29,actual
04:00PM 8 November 2025,0.71 kWh,$0.25,actual
05:00PM 8 November 2025,1.05 kWh,$0.34,actual
06:00PM 8 November 2025,1.48 kWh,$0.45,actual
07:00PM 8 November 2025,2.43 kWh,$0.71,actual
08:00PM 8 November 2025,1.15 kWh,$0.36,actual
09:00PM 8 November 2025,1.04 kWh,$0.23,actual
10:00PM 8 November 2025,2.01 kWh,$0.39,actual
11:00PM 8 November 2025,2.91 kWh,$0.55,actual
12:00AM 9 November 2025,4.60 kWh,$0.83,actual
01:00AM 9 November 2025,4.61 kWh,$0.83,actual
02:00AM 9 November 2025,2.89 kWh,$0.54,actual
03:00AM 9 November 2025,2.39 kWh,$0.46,actual
04:00AM 9 November 2025,1.41 kWh,$0.29,actual
05:00AM 9 November 2025,1.39 kWh,$0.29,actual
06:00AM 9 November 2025,1.84 kWh,$0.36,actual
07:00AM 9 November 2025,0.98 kWh,$0.32,actual
08:00AM 9 November 2025,1.03 kWh,$0.33,actual
09:00AM 9 November 2025,1.00 kWh,$0.32,actual
10:00AM 9 November 2025,1.21 kWh,$0.38,actual
11:00AM 9 November 2025,0.53 kWh,$0.20,actual
12:00PM 9 November 2025,1.15 kWh,$0.36,actual
01:00PM 9 November 2025,0.59 kWh,$0.22,actual
02:00PM 9 November 2025,0.54 kWh,$0.20,actual
03:00PM 9 November 2025,0.54 kWh,$0.20,actual
04:00PM 9 November 2025,0.58 kWh,$0.21,actual
05:00PM 9 November 2025,1.40 kWh,$0.43,actual
06:00PM 9 November 2025,2.49 kWh,$0.72,actual
07:00PM 9 November 2025,2.43 kWh,$0.71,actual
08:00PM 9 November 2025,1.77 kWh,$0.53,actual
09:00PM 9 November 2025,1.97 kWh,$0.39,actual
10:00PM 9 November 2025,1.78 kWh,$0.35,actual
11:00PM 9 November 2025,2.56 kWh,$0.49,actual
12:00AM 10 November 2025,4.16 kWh,$0.76,actual
01:00AM 10 November 2025,4.18 kWh,$0.76,actual
02:00AM 10 November 2025,3.83 kWh,$0.70,actual
03:00AM 10 November 2025,0.99 kWh,$0.22,actual
04:00AM 10 November 2025,1.30 kWh,$0.27,actual
05:00AM 10 November 2025,1.40 kWh,$0.29,actual
06:00AM 10 November 2025,2.36 kWh,$0.45,actual
07:00AM 10 November 2025,1.78 kWh,$0.53,actual
08:00AM 10 November 2025,0.56 kWh,$0.20,actual
09:00AM 10 November 2025,0.58 kWh,$0.21,actual
10:00AM 10 November 2025,0.59 kWh,$0.21,actual
11:00AM 10 November 2025,0.89 kWh,$0.30,actual
12:00PM 10 November 2025,0.87 kWh,$0.29,actual
01:00PM 10 November 2025,0.53 kWh,$0.20,actual
02:00PM 10 November 2025,0.55 kWh,$0.20,actual
03:00PM 10 November 2025,0.54 kWh,$0.20,actual
04:00PM 10 November 2025,0.57 kWh,$0.21,actual
05:00PM 10 November 2025,1.27 kWh,$0.40,actual
06:00PM 10 November 2025,1.36 kWh,$0.42,actual
07:00PM 10 November 2025,1.64 kWh,$0.50,actual
08:00PM 10 November 2025,1.50 kWh,$0.46,actual
09:00PM 10 November 2025,1.02 kWh,$0.23,actual
10:00PM 10 November 2025,1.35 kWh,$0.28,actual
11:00PM 10 November 2025,2.18 kWh,$0.42,actual
12:00AM 11 November 2025,3.65 kWh,$0.67,actual
01:00AM 11 November 2025,3.12 kWh,$0.58,actual
02:00AM 11 November 2025,1.05 kWh,$0.23,actual
03:00AM 11 November 2025,0.80 kWh,$0.19,actual
04:00AM 11 November 2025,0.52 kWh,$0.14,actual
05:00AM 11 November 2025,0.81 kWh,$0.19,actual
06:00AM 11 November 2025,1.49 kWh,$0.31,actual
07:00AM 11 November 2025,2.73 kWh,$0.79,actual
08:00AM 11 November 2025,0.82 kWh,$0.28,actual
09:00AM 11 November 2025,0.58 kWh,$0.21,actual
10:00AM 11 November 2025,0.57 kWh,$0.21,actual
11:00AM 11 November 2025,1.73 kWh,$0.52,actual
12:00PM 11 November 2025,1.07 kWh,$0.34,actual
01:00PM 11 November 2025,0.74 kWh,$0.25,actual
02:00PM 11 November 2025,0.67 kWh,$0.23,actual
03:00PM 11 November 2025,0.57 kWh,$0.21,actual
04:00PM 11 November 2025,0.60 kWh,$0.22,actual
05:00PM 11 November 2025,0.87 kWh,$0.29,actual
06:00PM 11 November 2025,1.05 kWh,$0.34,actual
07:00PM 11 November 2025,1.77 kWh,$0.53,actual
08:00PM 11 November 2025,2.12 kWh,$0.62,actual
09:00PM 11 November 2025,1.66 kWh,$0.33,actual
10:00PM 11 November 2025,1.56 kWh,$0.32,actual
11:00PM 11 November 2025,2.50 kWh,$0.48,actual
12:00AM 12 November 2025,3.79 kWh,$0.69,actual
01:00AM 12 November 2025,3.79 kWh,$0.69,actual
02:00AM 12 November 2025,1.19 kWh,$0.26,actual
03:00AM 12 November 2025,1.47 kWh,$0.30,actual
04:00AM 12 November 2025,0.70 kWh,$0.17,actual
05:00AM 12 November 2025,1.21 kWh,$0.26,actual
06:00AM 12 November 2025,1.04 kWh,$0.23,actual
07:00AM 12 November 2025,2.48 kWh,$0.72,actual
08:00AM 12 November 2025,2.30 kWh,$0.67,actual
09:00AM 12 November 2025,0.74 kWh,$0.25,actual
10:00AM 12 November 2025,0.97 kWh,$0.32,actual
11:00AM 12 November 2025,0.87 kWh,$0.29,actual
12:00PM 12 November 2025,0.87 kWh,$0.29,actual
01:00PM 12 November 2025,0.60 kWh,$0.22,actual
02:00PM 12 November 2025,0.59 kWh,$0.21,actual
03:00PM 12 November 2025,0.58 kWh,$0.21,actual
04:00PM 12 November 2025,0.85 kWh,$0.29,actual
05:00PM 12 November 2025,1.32 kWh,$0.41,actual
06:00PM 12 November 2025,1.42 kWh,$0.44,actual
07:00PM 12 November 2025,1.94 kWh,$0.58,actual
08:00PM 12 November 2025,1.87 kWh,$0.56,actual
09:00PM 12 November 2025,2.45 kWh,$0.47,actual
10:00PM 12 November 2025,1.94 kWh,$0.38,actual
11:00PM 12 November 2025,3.13 kWh,$0.58,actual
12:00AM 13 November 2025,4.44 kWh,$0.80,actual
01:00AM 13 November 2025,3.79 kWh,$0.69,actual
02:00AM 13 November 2025,2.69 kWh,$0.51,actual
03:00AM 13 November 2025,1.94 kWh,$0.38,actual
04:00AM 13 November 2025,1.25 kWh,$0.27,actual
05:00AM 13 November 2025,1.25 kWh,$0.27,actual
06:00AM 13 November 2025,1.28 kWh,$0.27,actual
07:00AM 13 November 2025,1.03 kWh,$0.33,actual
08:00AM 13 November 2025,1.21 kWh,$0.38,actual
09:00AM 13 November 2025,1.22 kWh,$0.38,actual
10:00AM 13 November 2025,3.66 kWh,$1.04,actual
11:00AM 13 November 2025,1.73 kWh,$0.52,actual
12:00PM 13 November 2025,0.94 kWh,$0.31,actual
01:00PM 13 November 2025,1.60 kWh,$0.48,actual
02:00PM 13 November 2025,0.98 kWh,$0.32,actual
03:00PM 13 November 2025,0.66 kWh,$0.23,actual
04:00PM 13 November 2025,1.37 kWh,$0.42,actual
05:00PM 13 November 2025,1.60 kWh,$0.48,actual
06:00PM 13 November 2025,2.74 kWh,$0.79,actual
07:00PM 13 November 2025,2.93 kWh,$0.84,actual
08:00PM 13 November 2025,2.77 kWh,$0.80,actual
09:00PM 13 November 2025,3.04 kWh,$0.57,actual
10:00PM 13 November 2025,2.47 kWh,$0.47,actual
11:00PM 13 November 2025,3.26 kWh,$0.60,actual
12:00AM 14 November 2025,4.86 kWh,$0.87,actual
01:00AM 14 November 2025,4.73 kWh,$0.85,actual
02:00AM 14 November 2025,4.66 kWh,$0.84,actual
03:00AM 14 November 2025,4.77 kWh,$0.86,actual
04:00AM 14 November 2025,3.17 kWh,$0.59,actual
05:00AM 14 November 2025,2.29 kWh,$0.44,actual
06:00AM 14 November 2025,1.68 kWh,$0.34,actual
07:00AM 14 November 2025,1.74 kWh,$0.52,actual
08:00AM 14 November 2025,1.25 kWh,$0.39,actual
09:00AM 14 November 2025,1.22 kWh,$0.38,actual
10:00AM 14 November 2025,0.72 kWh,$0.25,actual
11:00AM 14 November 2025,0.60 kWh,$0.22,actual
12:00PM 14 November 2025,0.57 kWh,$0.21,actual
01:00PM 14 November 2025,2.04 kWh,$0.60,actual
02:00PM 14 November 2025,0.84 kWh,$0.28,actual
03:00PM 14 November 2025,0.71 kWh,$0.25,actual
04:00PM 14 November 2025,0.71 kWh,$0.25,actual
05:00PM 14 November 2025,0.60 kWh,$0.22,actual
06:00PM 14 November 2025,1.46 kWh,$0.45,actual
07:00PM 14 November 2025,1.40 kWh,$0.43,actual
08:00PM 14 November 2025,0.98 kWh,$0.32,actual
09:00PM 14 November 2025,0.96 kWh,$0.22,actual
10:00PM 14 November 2025,1.04 kWh,$0.23,actual
11:00PM 14 November 2025,2.23 kWh,$0.43,actual
12:00AM 15 November 2025,3.65 kWh,$0.67,actual
01:00AM 15 November 2025,3.12 kWh,$0.58,actual
02:00AM 15 November 2025,0.92 kWh,$0.21,actual
03:00AM 15 November 2025,1.23 kWh,$0.26,actual
04:00AM 15 November 2025,0.57 kWh,$0.15,actual
05:00AM 15 November 2025,0.79 kWh,$0.19,actual
06:00AM 15 November 2025,0.49 kWh,$0.14,actual
07:00AM 15 November 2025,0.52 kWh,$0.19,actual
08:00AM 15 November 2025,0.91 kWh,$0.30,actual
09:00AM 15 November 2025,1.46 kWh,$0.45,actual
10:00AM 15 November 2025,0.62 kWh,$0.22,actual
11:00AM 15 November 2025,0.65 kWh,$0.23,actual
12:00PM 15 November 2025,1.58 kWh,$0.48,actual
01:00PM 15 November 2025,1.61 kWh,$0.49,actual
02:00PM 15 November 2025,1.15 kWh,$0.36,actual
03:00PM 15 November 2025,1.81 kWh,$0.54,actual
04:00PM 15 November 2025,0.71 kWh,$0.25,actual
05:00PM 15 November 2025,2.13 kWh,$0.63,actual
06:00PM 15 November 2025,2.41 kWh,$0.70,actual
07:00PM 15 November 2025,2.37 kWh,$0.69,actual
08:00PM 15 November 2025,2.21 kWh,$0.65,actual
09:00PM 15 November 2025,3.15 kWh,$0.58,actual
10:00PM 15 November 2025,2.21 kWh,$0.43,actual
11:00PM 15 November 2025,3.08 kWh,$0.57,actual
12:00AM 16 November 2025,4.48 kWh,$0.81,actual
01:00AM 16 November 2025,4.38 kWh,$0.79,actual
02:00AM 16 November 2025,3.41 kWh,$0.63,actual
03:00AM 16 November 2025,1.67 kWh,$0.34,actual
04:00AM 16 November 2025,1.41 kWh,$0.29,actual
05:00AM 16 November 2025,2.18 kWh,$0.42,actual
06:00AM 16 November 2025,2.38 kWh,$0.46,actual
07:00AM 16 November 2025,1.54 kWh,$0.47,actual
08:00AM 16 November 2025,0.65 kWh,$0.23,actual
09:00AM 16 November 2025,1.40 kWh,$0.43,actual
10:00AM 16 November 2025,0.74 kWh,$0.26,actual
11:00AM 16 November 2025,0.93 kWh,$0.31,actual
12:00PM 16 November 2025,0.63 kWh,$0.22,actual
01:00PM 16 November 2025,0.94 kWh,$0.31,actual
02:00PM 16 November 2025,0.79 kWh,$0.27,actual
03:00PM 16 November 2025,0.69 kWh,$0.24,actual
04:00PM 16 November 2025,1.09 kWh,$0.35,actual
05:00PM 16 November 2025,1.34 kWh,$0.41,actual
06:00PM 16 November 2025,1.51 kWh,$0.46,actual
07:00PM 16 November 2025,1.54 kWh,$0.47,actual
08:00PM 16 November 2025,1.62 kWh,$0.49,actual
09:00PM 16 November 2025,1.80 kWh,$0.36,actual
10:00PM 16 November 2025,1.52 kWh,$0.31,actual
11:00PM 16 November 2025,2.90 kWh,$0.54,actual
12:00AM 17 November 2025,4.21 kWh,$0.76,actual
01:00AM 17 November 2025,4.13 kWh,$0.75,actual
02:00AM 17 November 2025,4.17 kWh,$0.76,actual
03:00AM 17 November 2025,2.81 kWh,$0.53,actual
04:00AM 17 November 2025,1.55 kWh,$0.32,actual
05:00AM 17 November 2025,1.03 kWh,$0.23,actual
06:00AM 17 November 2025,1.93 kWh,$0.38,actual
07:00AM 17 November 2025,1.18 kWh,$0.37,actual
08:00AM 17 November 2025,0.32 kWh,$0.14,actual
09:00AM 17 November 2025,0.32 kWh,$0.14,actual
10:00AM 17 November 2025,0.95 kWh,$0.31,actual
11:00AM 17 November 2025,1.41 kWh,$0.43,actual
12:00PM 17 November 2025,0.75 kWh,$0.26,actual
01:00PM 17 November 2025,0.52 kWh,$0.19,actual
02:00PM 17 November 2025,0.53 kWh,$0.20,actual
03:00PM 17 November 2025,0.52 kWh,$0.20,actual
04:00PM 17 November 2025,0.83 kWh,$0.28,actual
05:00PM 17 November 2025,1.81 kWh,$0.54,actual
06:00PM 17 November 2025,1.39 kWh,$0.43,actual
07:00PM 17 November 2025,1.33 kWh,$0.41,actual
08:00PM 17 November 2025,1.04 kWh,$0.34,actual
09:00PM 17 November 2025,0.86 kWh,$0.20,actual
10:00PM 17 November 2025,1.20 kWh,$0.26,actual
11:00PM 17 November 2025,2.13 kWh,$0.41,actual
12:00AM 18 November 2025,3.68 kWh,$0.68,actual
01:00AM 18 November 2025,2.98 kWh,$0.56,actual
02:00AM 18 November 2025,1.17 kWh,$0.25,actual
03:00AM 18 November 2025,0.51 kWh,$0.14,actual
04:00AM 18 November 2025,0.79 kWh,$0.19,actual
05:00AM 18 November 2025,0.49 kWh,$0.14,actual
06:00AM 18 November 2025,0.73 kWh,$0.18,actual
07:00AM 18 November 2025,0.85 kWh,$0.28,actual
08:00AM 18 November 2025,1.38 kWh,$0.43,actual
09:00AM 18 November 2025,0.56 kWh,$0.21,actual
10:00AM 18 November 2025,0.56 kWh,$0.21,actual
11:00AM 18 November 2025,0.56 kWh,$0.20,actual
12:00PM 18 November 2025,1.21 kWh,$0.38,actual
01:00PM 18 November 2025,0.85 kWh,$0.28,actual
02:00PM 18 November 2025,0.97 kWh,$0.32,actual
03:00PM 18 November 2025,0.83 kWh,$0.28,actual
04:00PM 18 November 2025,0.86 kWh,$0.29,actual
05:00PM 18 November 2025,1.05 kWh,$0.34,actual
06:00PM 18 November 2025,1.30 kWh,$0.40,actual
07:00PM 18 November 2025,1.65 kWh,$0.50,actual
08:00PM 18 November 2025,1.08 kWh,$0.35,actual
09:00PM 18 November 2025,0.93 kWh,$0.21,actual
10:00PM 18 November 2025,1.02 kWh,$0.23,actual
11:00PM 18 November 2025,2.42 kWh,$0.46,actual
12:00AM 19 November 2025,3.71 kWh,$0.68,actual
01:00AM 19 November 2025,3.67 kWh,$0.67,actual
02:00AM 19 November 2025,2.44 kWh,$0.47,actual
03:00AM 19 November 2025,0.69 kWh,$0.17,actual
04:00AM 19 November 2025,0.88 kWh,$0.20,actual
05:00AM 19 November 2025,0.95 kWh,$0.22,actual
